Project ID,Monitoring Location ID,Activity ID,Activity Type,Activity Media Name,Activity Start Date,Activity Start Time,Activity Start Time Zone,Activity Depth/Height Measure,Activity Depth/Height Unit,Sample Collection Method ID,Sample Collection Equipment Name,Sample Collection Equipment Comment,Characteristic Name,Method Speciation,Result Detection Condition,Result Value,Result Unit,Result Qualifier,Result Sample Fraction,Result Status ID,Statistical Base Code,Result Value Type,Result Analytical Method ID,Result Analytical Method Context,Analysis Start Date,Analysis Start Time Zone,Analysis Start Time,Result Detection Limit Type,Result Detection Limit Value,Result Detection Limit Unit,Result Comment
RCS,VY1,VY1:20170322:Water:FM,Field Msr/Obs,Water,2017-03-22,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,56.3129997253418,deg F,,,Final,,Actual,,,2017-03-22,PST,04:00:00,,,,
RCS,VY1,VY1:20170322:Water:FM,Field Msr/Obs,Water,2017-03-22,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,55.94300079345703,deg F,,,Final,,Actual,,,2017-03-22,PST,06:00:00,,,,
RCS,VY1,VY1:20170322:Water:FM,Field Msr/Obs,Water,2017-03-22,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,55.573001861572266,deg F,,,Final,,Actual,,,2017-03-22,PST,08:00:00,,,,
RCS,VY1,VY1:20170322:Water:FM,Field Msr/Obs,Water,2017-03-22,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,55.665000915527344,deg F,,,Final,,Actual,,,2017-03-22,PST,10:00:00,,,,
RCS,VY1,VY1:20170322:Water:FM,Field Msr/Obs,Water,2017-03-22,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,57.88100051879883,deg F,,,Final,,Actual,,,2017-03-22,PST,12:00:00,,,,
RCS,VY1,VY1:20170322:Water:FM,Field Msr/Obs,Water,2017-03-22,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,58.89099884033203,deg F,,,Final,,Actual,,,2017-03-22,PST,14:00:00,,,,
RCS,VY1,VY1:20170322:Water:FM,Field Msr/Obs,Water,2017-03-22,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,59.53200149536133,deg F,,,Final,,Actual,,,2017-03-22,PST,16:00:00,,,,
RCS,VY1,VY1:20170322:Water:FM,Field Msr/Obs,Water,2017-03-22,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,58.89099884033203,deg F,,,Final,,Actual,,,2017-03-22,PST,18:00:00,,,,
RCS,VY1,VY1:20170322:Water:FM,Field Msr/Obs,Water,2017-03-22,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,55.01599884033203,deg F,,,Final,,Actual,,,2017-03-22,PST,20:00:00,,,,
RCS,VY1,VY1:20170322:Water:FM,Field Msr/Obs,Water,2017-03-22,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,53.7130012512207,deg F,,,Final,,Actual,,,2017-03-22,PST,22:00:00,,,,
RCS,VY1,VY1:20170323:Water:FM,Field Msr/Obs,Water,2017-03-23,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,52.310001373291016,deg F,,,Final,,Actual,,,2017-03-23,PST,00:00:00,,,,
RCS,VY1,VY1:20170323:Water:FM,Field Msr/Obs,Water,2017-03-23,,,,,DCR-QAPP,Probe/Sensor,Rugged TROLL 200,"Temperature, water",,,50.805999755859375,deg F,,,Final,,Actual,,,2017-03-23,PST,02:00:00,,,,
